Name,Formula,MW,TPSA,HBD,HBA,LogP,Cluster
Aspirin,C9H8O4,180.159,63.60000000000001,1,3,1.3101,2
Caffeine,C8H10N4O2,194.194,61.82,0,3,-1.0293,2
Ibuprofen,C13H18O2,206.285,37.3,1,1,3.073200000000001,2
Paracetamol,C8H9NO2,151.165,49.33,2,2,1.3505999999999998,2
Benzene,C6H6,78.11399999999999,0.0,0,0,1.6866,0
Toluene,C7H8,92.141,0.0,0,0,1.99502,0
Phenol,C6H6O,94.11299999999996,20.23,1,1,1.3921999999999997,0
Acetone,C3H6O,58.08,17.07,0,1,0.5952999999999999,0
Ethanol,C2H6O,46.069,20.23,1,1,-0.0014,0
Methanol,CH4O,32.042,20.23,1,1,-0.3915,0
Glucose,C6H12O6,180.156,110.38,5,6,-3.2213999999999987,2
Acetic acid,C2H4O2,60.05200000000001,37.3,1,1,0.0908999999999999,0
Citric acid,C6H8O7,192.123,132.13,4,4,-1.2485,2
Nicotine,C10H14N2,162.23600000000002,16.130000000000003,0,2,1.8483,2
Cholesterol,C27H46O,386.66400000000016,20.23,1,1,7.38870000000001,1
Urea,CH4N2O,60.05599999999999,69.11,2,1,-0.9762,0
Aniline,C6H7N,93.129,26.02,1,1,1.2687999999999997,0
Naphthalene,C10H8,128.17399999999995,0.0,0,0,2.839800000000001,0
Acetaldehyde,C2H4O,44.053,17.07,0,1,0.2052,0
Formaldehyde,CH2O,30.026,17.07,0,1,-0.1849,0
